"Audience Rating",Color,Country,Genres,"IMDb Rating","IMDb Url","Is TV Series",Language,"Original Title",Plot,"Release Date","Release Year",Series,"Sort Title",Studios,Title,"Title Extension","Audio Tracks",Barcode,"Box Set",Distributor,Edition,"Edition Release Date","Edition Release Year",Extras,Format,HDR,Layers,"Nr Discs",Packaging,Regions,Runtime,"Screen Ratios",Subtitles,Actor,Director,Musician,Photography,Producer,Writer,"Added Date","Added Year","Collection Status",Condition,"Current Value",Features,Index,"Last Watched Date","Last Watched Where",Location,"Modified Date","My Rating",Notes,Owner,"Purchase Date","Purchase Price","Purchase Store","Purchase Year",Quantity,"Storage Device","Storage Slot",Tags,"Watch Count","Watch Year",Watched,"Due Date","Loan Date","Loaned To"
"US - G",Color,UK,"Adventure | Science Fiction",8.3,https://www.imdb.com/title/tt0062622/?ref_=ref_ext_clz,,English,,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",1968,1968,,"2001: A Space Odyssey","Metro-Goldwyn-Mayer (MGM)","2001: A Space Odyssey",,"Dolby Digital 5.1 [] | Dolby Digital 5.1 [English]",7892110025423,"Stanley Kubrik",,,,,,DVD,,"Single side, Dual layer",1,"Keep Case","Region 4",149,"Widescreen (16:9, Anamorphic)","English | French | Portuguese | Spanish","Keir Dullea | Gary Lockwood | William Sylvester","Stanley Kubrick",,"Geoffrey Unsworth","Stanley Kubrick | Victor Lyndon","Stanley Kubrick | Arthur C. Clarke","Mar 16, 2026",2026,"In Collection",,,,408,,,,"Mar 17, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
"US - PG-13",Color,USA,"Adventure | Drama | Science Fiction",7.2,https://www.imdb.com/title/tt0212720/?ref_=ref_ext_clz,,English,"A.I. Artificial Intelligence","David, a robotic boy—the first of his kind programmed to love—is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David.",2001,2001,,"A.I. Inteligência Artificial","Warner Bros.","A.I. Inteligência Artificial",,"Dolby Digital 5.1 EX [English] | Dolby Digital 5.1 EX [German] | Dolby Digital 5.1 EX [Spanish]",7321921213304,,"Warner Bros.","2 DVDs","Apr 04, 2002",2002,,DVD,,"Single side, Dual layer",2,Digipak,"Region 2",146,"Anamorphic Widescreen (1.78:1)","Croatian | Czech | Danish | Dutch | English | English (Closed Captioned) | Finnish | French | German | German (Closed Captioned) | Greek | Hebrew | Hungarian | Icelandic | Italian | Norwegian | Polish | Portuguese | Spanish | Swedish | Turkish","Haley Joel Osment | Frances O'Connor | Sam Robards","Steven Spielberg","John Williams","Janusz Kaminski","Bonnie Curtis | Jan Harlan | Kathleen Kennedy","Brian Aldiss | Ian Watson | Steven Spielberg","Mar 16, 2026",2026,"In Collection",,,,379,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - PG",Color,Mexico,"Adventure | Drama | Romance | War | Western",7,https://www.imdb.com/title/tt0065134/?ref_=ref_ext_clz,,English,"Two Mules for Sister Sara","When a wandering mercenary named Hogan rescues a nun called Sister Sara from the unwanted attentions of a band of rogues on the Mexican plains, he has no idea what he has let himself in for. Their chance encounter results in the blowing up of a train and a French garrison, as well as igniting a spark between them that survives a shocking discovery.",1970,1970,,"Abutres têm Fome","Universal Pictures","Os Abutres têm Fome",,,7898366216127,,,,,,,DVD,,N/A,1,,,116,,,"Shirley MacLaine | Clint Eastwood | Manolo Fabregas","Don Siegel","Ennio Morricone","Gabriel Figueroa | Robert Surtees","Carroll Case | Clint Eastwood | Martin Rackin","Budd Boetticher | Albert Maltz","Mar 16, 2026",2026,"In Collection",,,,311,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - Approved","Black & White",USA,"Comedy | Romance",7.4,https://www.imdb.com/title/tt0041090/?ref_=ref_ext_clz,,English,,"A woman's attempted murder of her uncaring husband results in everyday quarrels in the lives of Adam and Amanda, a pair of happily married lawyers who end up on opposite sides of the case in court.",1949,1949,,"Adam's Rib","Metro-Goldwyn-Mayer (MGM)","Adam's Rib",,,9788516062941,"Clássicos do Cinema - Folha",,,,,,DVD,,N/A,1,,,101,,,"Spencer Tracy | Katharine Hepburn | Judy Holliday","George Cukor","Miklós Rózsa","George J. Folsey","Lawrence Weingarten","Ruth Gordon | Garson Kanin","Mar 17, 2026",2026,"In Collection",,,,467,,,,"Mar 17, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
"US - Approved",Color,USA,"Drama | Romance",6.3,https://www.imdb.com/title/tt0059674/?ref_=ref_ext_clz,,English,"The Sandpiper","A free-spirited single mother forms a connection with the wedded headmaster of an Episcopalian boarding school in Monterey, California.",1965,1965,,"Adeus às Ilusões","Metro-Goldwyn-Mayer (MGM)","Adeus às Ilusões",,,7896748237210,,,,,,,DVD,,N/A,1,,,117,,,"Elizabeth Taylor | Richard Burton | Eva Marie Saint","Vincente Minnelli","Johnny Mandel","Milton R. Krasner","John Calley | Martin Ransohoff","Martin Ransohoff | Irene Kamp | Louis Kamp","Mar 16, 2026",2026,"In Collection",,,,196,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - Approved",Color,USA,"Action | Adventure | Romance",7.9,https://www.imdb.com/title/tt0029843/?ref_=ref_ext_clz,,English,,"Robin Hood fights nobly for justice against the evil Sir Guy of Gisbourne while striving to win the hand of the beautiful Maid Marian.",1938,1938,,"Adventures of Robin Hood","Warner Bros.","The Adventures of Robin Hood",,,9788516062903,"Clássicos do Cinema - Folha",,,,,,DVD,,N/A,1,,,102,,,"Errol Flynn | Olivia de Havilland | Basil Rathbone","Michael Curtiz | William Keighley","Erich Wolfgang Korngold","Tony Gaudio | Sol Polito","Henry Blanke | Hal B. Wallis | Jack L. Warner","Norman Reilly Raine | Seton I. Miller | Rowland Leigh","Mar 17, 2026",2026,"In Collection",,,,466,,,,"Mar 17, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
"US - G",Color,USA,"Adventure | Animation | Comedy | Family | Fantasy | Musical | Romance",8,https://www.imdb.com/title/tt0103639/?ref_=ref_ext_clz,,English,,"In the boorish city of Agrabah, kind-hearted street urchin Aladdin and Princess Jasmine fall in love, although she can only marry a prince. He and power-hungry Grand Vizier Jafar vie for a magic lamp that can fulfill their wishes.",1992,1992,,Aladdin,"Buena Vista Pictures Distribution",Aladdin,,"Dolby Digital 5.1 [English] | Dolby Digital 5.1 [French] | Dolby Digital 5.1 [Spanish]",7890552004907,,"Walt Disney","Special Edition","Oct 05, 2004",2004,,DVD,,"Single side, Dual layer",2,"Keep Case","Region 1",90,,"English | French | Spanish","Scott Weinger | Robin Williams | Linda Larkin","Ron Clements | John Musker","Alan Menken",,"Ron Clements | Donald W. Ernst | John Musker","Ron Clements | John Musker | Ted Elliott","Mar 15, 2026",2026,"In Collection",,,,44,,,,"Mar 15, 2026",0,,,,,,,1,,,"Desenhos e animações | Doar?",0,,No,,,
"US - R",Color,Spain,"Comedy | Drama | Romance",7.8,https://www.imdb.com/title/tt0185125/?ref_=ref_ext_clz,,Spanish,,"Following the tragic death of her teenage son, Manuela travels from Madrid to Barcelona in an attempt to contact the long-estranged father the boy never knew. She reunites with an old friend, an outspoken transgender sex worker, and befriends a troubled actress and a pregnant, HIV-positive nun.",1999,1999,,"All About My Mother","Sony Pictures Classics","All About My Mother",,,7896012255636,Almodovar,,,,,,DVD,,N/A,1,,,101,,,"Cecilia Roth | Marisa Paredes | Candela Peña","Pedro Almodóvar","Alberto Iglesias","Affonso Beato","Agustin Almodovar | Claude Berri | Michel Ruben","Pedro Almodóvar","Mar 17, 2026",2026,"In Collection",,,,444,,,,"Mar 17, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
"US - Approved",Color,USA,"Crime | Drama | Film Noir | Thriller",7.7,https://www.imdb.com/title/tt0038057/?ref_=ref_ext_clz,,English,"Scarlet Street","Cashier and part-time starving artist Christopher Cross is absolutely smitten with the beautiful Kitty March. Kitty plays along, but she's really only interested in Johnny, a two-bit crook. When Kitty and Johnny find out that art dealers are interested in Chris's work, they con him into letting Kitty take credit for the paintings. Cross allows it because he is in love with Kitty, but his love will only let her get away with so much.",1945,1945,,"Almas Perversas","Universal Pictures","Almas Perversas",,,7898914026109,,,,,,,DVD,,N/A,1,,,102,,,"Edward G. Robinson | Joan Bennett | Dan Duryea","Fritz Lang","Hans J. Salter","Milton R. Krasner","Fritz Lang | Walter Wanger","Georges de la FOUCHARDIÈRE | André Mouézy-Éon | Dudley Nichols","Mar 16, 2026",2026,"In Collection",,,,222,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - R",Color,USA,"Biography | Drama | Music",8.4,https://www.imdb.com/title/tt0086879/?ref_=ref_ext_clz,,English,,"Disciplined Italian composer Antonio Salieri becomes consumed by jealousy and resentment towards the hedonistic and remarkably talented young Salzburger composer Wolfgang Amadeus Mozart.",1984,1984,,Amadeus,"Orion Pictures",Amadeus,,"Dolby Digital 5.1 [English]",7892110015370,,,,"Apr 01, 2003",2003,,DVD,,N/A,1,"Snap Case","Region 4",160,"Theatrical Widescreen (2.35:1)","English | Portuguese | Spanish","F. Murray Abraham | Tom Hulce | Elizabeth Berridge","Milos Forman",,"Miroslav Ondricek","Michael Hausman | Bertil Ohlsson | Saul Zaentz","Peter Shaffer | Zdenek Mahler","Mar 16, 2026",2026,"In Collection",,,,207,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
